Starts,Ends,ActivityType,Activity,Address,Phone,Reservation,Transport Number,Departure,Arrival,Notes
"21/01/2026, 22:15","22/01/2026, 05:20",Voo,GRU → IAH,,,J38965,UA63,GRU,IAH,
"22/01/2026, 15:22","22/01/2026, 17:50",Voo,IAH → SFO,,,J38965,UA241,IAH,SFO,
"22/01/2026, 23:15","24/01/2026, 06:45",Voo,SFO → HKG,,,J38965,UA877,SFO,HKG,
"24/01/2026, 14:00","26/01/2026, 12:00",Acomodações,The Luxe Manor,"39 Kimberley Road, Tsim Sha Tsui, Kowloon RAE de Hong Kong",,72067488929560,,,,"Quarto premier



Não há incidência de cobranças para cancelamentos feitos antes de 23h59 (horário local da propriedade) em 25 dez., 2025. Cancelamentos ou alterações feitos após 23h59 (horário local da propriedade), em 25 dez., 2025, ou no show estão sujeitos a uma taxa cobrada pela propriedade de 100% do valor total pago pela reserva."
"26/01/2026, 15:00","28/01/2026, 11:00",Acomodações,Disney Explorers Lodge,"Hong Kong Disneyland Resort, Lantau RAE de Hong Kong",,72067489004786,,,,"Quarto luxo, vista para o jardim



Não há incidência de cobranças para cancelamentos feitos antes de 23h59 (horário local da propriedade) em 19 jan., 2026. Cancelamentos ou alterações feitos após 23h59 (horário local da propriedade), em 19 jan., 2026, ou no show estão sujeitos a uma taxa cobrada pela propriedade equivalente à tarifa da primeira noite, além de impostos e taxas."
"28/01/2026, 14:00","31/01/2026, 12:00",Acomodações,Evergreen Laurel Hotel Shanghai,"No. 1136, Zuchongzhi Road, Pudong District, Shanghai, 201203 China",,72068714880747,,,,"Quarto família



Não há incidência de cobranças para cancelamentos feitos antes de 18h00 (horário local da propriedade) em 27 jan., 2026. Cancelamentos ou alterações feitos após 18h00 (horário local da propriedade), em 27 jan., 2026, ou no show estão sujeitos a uma taxa cobrada pela propriedade equivalente à tarifa da primeira noite, além de impostos e taxas."
"31/01/2026, 14:00","02/02/2026, 12:00",Acomodações,Royal Garden Hotel ShangHai,"HuaXia Road(E), No. 1539, Shanghai, 201200 China",,72068714660307,,,,"Quarto duplo superior, várias camas, serviço de arrumação, vista para o pátio



O tipo de quarto/unidade e tarifa selecionados não são reembolsáveis. Caso você altere ou cancele a reserva por algum motivo, seu pagamento não será reembolsado.Não haverá reembolso para check-in tardio ou check-out antecipado.Para estender a duração da estadia, é necessário fazer uma nova reserva."
"02/02/2026, 14:00","06/02/2026, 12:00",Acomodações,Sunworld Dynasty Hotel Beijing Wangfujing,"50 Wangfujing Avenue, Beijing, 100006 China",,72068976232347,,,,"Quarto casal superior



Não há incidência de cobranças para cancelamentos feitos antes de 18h00 (horário local da propriedade) em 28 jan., 2026. Cancelamentos ou alterações feitos após 18h00 (horário local da propriedade), em 28 jan., 2026, ou no show estão sujeitos a uma taxa cobrada pela propriedade equivalente à tarifa da primeira noite, além de impostos e taxas."
"07/02/2026, 15:00","10/02/2026, 11:00",Acomodações,Mondrian Seoul Itaewon,"23, Jangmun-ro, Yongsan-gu, Seoul, 04392 Coreia do Sul",,72069412117960,,,,"Quarto com design assinado, 1 cama King



O tipo de quarto/unidade e tarifa selecionados não são reembolsáveis. Caso você altere ou cancele a reserva por algum motivo, seu pagamento não será reembolsado.Não haverá reembolso para check-in tardio ou check-out antecipado.Para estender a duração da estadia, é necessário fazer uma nova reserva."
"11/02/2026, 11:25","11/02/2026, 08:05",Voo,HKG → LAX,,,J38965,UA153,HKG,LAX,
"11/02/2026, 13:10","11/02/2026, 18:30",Voo,LAX → IAH,,,J38965,UA2221,LAX,IAH,
"11/02/2026, 20:45","12/02/2026, 09:30",Voo,IAH → GRU,,,J38965,UA62,IAH,GRU,
